name,full,hunger,clean,dirt,sad,happy,hurt,good,bad,psysical,intelligence,loney,free1,free2,free3
그냥달팽이 ,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
긴달팽이,배~부르다,배고~파,깨끗해~,더~러~워,슬퍼..,기뻐~,아프다~,좋~아~,나빠,힘이난다~,명석해,외로워..,미끌~미끌~,심심하다~,ㅎㅎ
어둠달팽이,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
VR달팽이,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
날개달팽이,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
마법달팽이,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
안전달팽이,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
noname,배부르다,배고파,깨끗해,더러워,슬퍼,기뻐,아프다,좋아,나빠,활동적인,명석해,외로워,아무말1,아무말2,아무말3
